,ano,sigla_uf,id_municipio,tempo_medio_deslocamento,prop_deslocamento_acima_1_hora
148,2010,SP,3530607,37,16.0
149,2010,SP,3534401,46,23.0
150,2010,SP,3539103,37,15.0
151,2010,SP,3539806,48,31.0
152,2010,SP,3543303,45,25.0
153,2010,SP,3544103,50,32.0
154,2010,SP,3545001,37,18.0
155,2010,SP,3546801,37,16.0
156,2010,SP,3547304,40,18.0
157,2010,SP,3547809,43,21.0
158,2010,SP,3548708,42,20.0
159,2010,SP,3548807,36,16.0
160,2010,SP,3549953,33,14.0
161,2010,SP,3550308,51,31.0
162,2010,SP,3552502,46,26.0
163,2010,SP,3552809,49,29.0
164,2010,SP,3556453,36,15.0
165,2010,PR,4100202,28,12.0
166,2010,PR,4100301,23,6.0
167,2010,PR,4100400,47,25.0
168,2010,PR,4101804,36,16.0
169,2010,PR,4102307,27,7.0
170,2010,PR,4103107,40,25.0
171,2010,PR,4104006,35,14.0
172,2010,PR,4104105,21,3.0
173,2010,PR,4104204,33,12.0
174,2010,PR,4104253,45,25.0
175,2010,PR,4105201,22,4.0
176,2010,PR,4105805,43,21.0
177,2010,PR,4106209,29,9.0
178,2010,PR,4106902,34,11.0
179,2010,PR,4107652,55,41.0
180,2010,PR,4111258,47,30.0
181,2010,PR,4113205,24,7.0
182,2010,PR,4114302,36,20.0
183,2010,PR,4119103,20,3.0
184,2010,PR,4119152,37,15.0
185,2010,PR,4119509,47,27.0
186,2010,PR,4120804,33,12.0
187,2010,PR,4121208,28,11.0
188,2010,PR,4122206,42,25.0
189,2010,PR,4122305,22,3.0
190,2010,PR,4125506,33,11.0
191,2010,PR,4127601,22,3.0
192,2010,PR,4127882,32,12.0
193,2010,PR,4128633,33,14.0
194,2010,SC,4205407,29,8.0
195,2010,RS,4314902,34,10.0
196,2010,MS,5002704,30,9.0
197,2010,MT,5103403,31,8.0
198,2010,GO,5200100,18,2.0
199,2010,GO,5200175,20,4.0
200,2010,GO,5200258,54,38.0
201,2010,GO,5200308,23,6.0
202,2010,GO,5200605,18,3.0
203,2010,GO,5200803,23,7.0
204,2010,GO,5203203,20,2.0
205,2010,GO,5204003,24,4.0
206,2010,GO,5205307,20,3.0
207,2010,GO,5205497,56,43.0
208,2010,GO,5205513,37,22.0
209,2010,GO,5205802,24,4.0
210,2010,GO,5206206,26,9.0
211,2010,GO,5207907,27,8.0
212,2010,GO,5208004,24,6.0
213,2010,GO,5208608,27,7.0
214,2010,GO,5208707,31,9.0
215,2010,GO,5212501,43,28.0
216,2010,GO,5213053,17,4.0
217,2010,GO,5214606,24,5.0
218,2010,GO,5215231,53,38.0
219,2010,GO,5215603,32,16.0
220,2010,GO,5217302,21,3.0
221,2010,GO,5217609,55,45.0
222,2010,GO,5219753,53,40.0
223,2010,GO,5220009,22,6.0
224,2010,GO,5220686,16,2.0
225,2010,GO,5221858,47,28.0
226,2010,GO,5222203,25,5.0
227,2010,GO,5222302,24,8.0
228,2010,DF,5300108,39,16.0
